Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,Turnover
2024-10-08,000858,176.18,161.47,176.18,152.97,1306806,22218231044.69,14.51,0.96,1.54,3.37
2024-10-09,000858,157.42,145.1,157.42,145.08,815469,12409184179.14,7.64,-10.14,-16.37,2.1
2024-10-10,000858,145.09,149.4,152.95,145.09,600601,9164464306.6,5.42,2.96,4.3,1.55
2024-10-11,000858,147.42,147.07,150.74,145.42,285158,4283807927.93,3.56,-1.56,-2.33,0.73
2024-10-14,000858,148.42,147.18,148.42,143.43,334966,4986283992.84,3.39,0.07,0.11,0.86
2024-10-15,000858,147.42,141.42,147.52,141.42,329702,4840842560.33,4.14,-3.91,-5.76,0.85
2024-10-16,000858,139.42,139.07,141.71,137.5,312272,4430542144.18,2.98,-1.66,-2.35,0.8
2024-10-17,000858,139.92,135.37,140.34,135.31,282508,3957974225.62,3.62,-2.66,-3.7,0.73
2024-10-18,000858,134.43,140.42,142.98,133.78,441443,6206988496.45,6.8,3.73,5.05,1.14
2024-10-21,000858,141.41,140.43,142.92,138.52,295765,4223086214.96,3.13,0.01,0.01,0.76
2024-10-22,000858,140.22,142.86,143.87,139.63,304663,4419839157.54,3.02,1.73,2.43,0.78
2024-10-23,000858,142.89,145.95,146.95,141.42,358138,5277833035.92,3.87,2.16,3.09,0.92
2024-10-24,000858,144.22,143.88,145.92,143.53,186420,2743177643.67,1.64,-1.42,-2.07,0.48
2024-10-25,000858,142.88,145.53,147.29,142.88,198055,2926843948.56,3.07,1.15,1.65,0.51
2024-10-28,000858,146.43,151.39,151.42,144.09,438110,6649586215.49,5.04,4.03,5.86,1.13
2024-10-29,000858,151.39,148.22,154.3,147.82,303158,4641639291.51,4.28,-2.09,-3.17,0.78
2024-10-30,000858,146.42,146.22,148.73,144.72,211870,3158474275.2,2.71,-1.35,-2.0,0.55
2024-10-31,000858,144.42,144.25,146.62,142.83,269441,3957475706.73,2.59,-1.35,-1.97,0.69
2024-11-01,000858,143.14,145.34,148.22,143.14,227192,3379402017.88,3.52,0.76,1.09,0.59
2024-11-04,000858,145.92,146.02,146.63,143.5,205052,3030626417.3,2.15,0.47,0.68,0.53
2024-11-05,000858,145.42,150.22,150.41,144.22,320318,4839032609.09,4.24,2.88,4.2,0.83
2024-11-06,000858,150.18,148.67,150.42,146.57,302066,4568777903.38,2.56,-1.03,-1.55,0.78
2024-11-07,000858,147.46,159.66,160.44,147.25,671872,10602928042.25,8.87,7.39,10.99,1.73
2024-11-08,000858,161.42,153.89,162.02,153.42,567474,9025428027.87,5.39,-3.61,-5.77,1.46
2024-11-11,000858,150.77,152.24,152.27,148.62,366012,5603393228.05,2.37,-1.07,-1.65,0.94
2024-11-12,000858,152.24,151.72,156.42,151.07,351347,5496005682.15,3.51,-0.34,-0.52,0.91
2024-11-13,000858,150.42,151.36,152.75,150.08,194334,2990077534.77,1.76,-0.24,-0.36,0.5
2024-11-14,000858,150.53,150.91,153.3,149.57,217928,3357496177.85,2.46,-0.3,-0.45,0.56
2024-11-15,000858,150.9,148.71,151.55,147.97,255443,3894476942.73,2.37,-1.46,-2.2,0.66
2024-11-18,000858,148.7,146.75,150.78,146.42,209861,3164795002.82,2.93,-1.32,-1.96,0.54
2024-11-19,000858,146.98,145.87,148.06,142.72,233413,3447738671.24,3.64,-0.6,-0.88,0.6
2024-11-20,000858,145.87,147.02,147.81,144.62,149815,2233265261.15,2.19,0.79,1.15,0.39
2024-11-21,000858,146.42,146.92,147.52,145.58,114461,1706377342.04,1.32,-0.07,-0.1,0.29
2024-11-22,000858,146.82,142.31,147.43,142.07,189425,2785311385.17,3.65,-3.14,-4.61,0.49
2024-11-25,000858,143.31,141.22,144.6,140.12,191690,2771219117.26,3.15,-0.77,-1.09,0.49
2024-11-26,000858,140.92,142.22,144.02,139.92,175358,2539251070.42,2.9,0.71,1.0,0.45
2024-11-27,000858,142.19,144.47,145.31,141.0,200250,2921829639.85,3.03,1.58,2.25,0.52
2024-11-28,000858,142.42,141.42,144.37,141.22,190454,2760020463.69,2.18,-2.11,-3.05,0.49
2024-11-29,000858,142.44,144.19,147.11,141.82,287278,4234632625.5,3.74,1.96,2.77,0.74
2024-12-02,000858,144.55,144.82,145.85,142.98,179764,2645657930.73,1.99,0.44,0.63,0.46
2024-12-03,000858,145.12,144.41,145.19,143.62,140143,2059980757.04,1.08,-0.28,-0.41,0.36
2024-12-04,000858,144.32,143.15,144.36,142.19,148434,2161996959.31,1.5,-0.87,-1.26,0.38
2024-12-05,000858,142.42,142.45,143.08,141.93,103210,1496758490.67,0.8,-0.49,-0.7,0.27
2024-12-06,000858,142.08,143.86,145.42,142.08,187546,2745488834.28,2.34,0.99,1.41,0.48
2024-12-09,000858,143.87,143.18,144.83,142.57,145424,2124782350.84,1.57,-0.47,-0.68,0.37
2024-12-10,000858,150.42,146.52,152.3,146.32,463263,7021977459.73,4.18,2.33,3.34,1.19
2024-12-11,000858,145.44,146.82,148.92,145.44,199993,2993662412.56,2.38,0.2,0.3,0.52
2024-12-12,000858,146.86,149.24,149.42,145.89,253653,3819524049.44,2.4,1.65,2.42,0.65
2024-12-13,000858,147.77,145.46,148.1,145.42,284227,4230330395.73,1.8,-2.53,-3.78,0.73
2024-12-16,000858,145.45,142.01,145.46,141.44,264773,3846200007.75,2.76,-2.37,-3.45,0.68
2024-12-17,000858,142.0,142.31,144.17,141.02,159493,2318651653.82,2.22,0.21,0.3,0.41
2024-12-18,000858,142.42,142.62,143.7,141.98,120676,1755251344.92,1.21,0.22,0.31,0.31
2024-12-19,000858,141.52,140.97,141.83,140.73,151982,2184469847.63,0.77,-1.16,-1.65,0.39
2024-12-20,000858,141.12,140.63,141.89,140.14,172836,2479372352.39,1.24,-0.24,-0.34,0.45
2024-12-23,000858,139.74,139.87,141.36,139.67,142601,2039345026.45,1.2,-0.54,-0.76,0.37
2024-12-24,000858,139.77,140.9,140.92,139.13,143330,2045707407.6,1.28,0.74,1.03,0.37
2024-12-25,000858,140.9,140.5,141.3,140.0,96140,1376290843.2,0.92,-0.28,-0.4,0.25
2024-12-26,000858,140.54,139.91,140.65,139.27,104768,1493951272.06,0.98,-0.42,-0.59,0.27
2024-12-27,000858,140.02,139.94,140.37,138.99,134451,1912027992.9,0.99,0.02,0.03,0.35
2024-12-30,000858,139.44,138.63,140.59,138.42,163672,2320655236.7,1.55,-0.94,-1.31,0.42
2024-12-31,000858,138.64,137.46,141.02,137.43,245219,3472955734.44,2.59,-0.84,-1.17,0.63
2025-01-02,000858,137.42,134.41,137.42,133.72,255647,3517884975.58,2.69,-2.22,-3.05,0.66
2025-01-03,000858,134.5,132.82,135.38,132.17,168230,2295817771.8,2.39,-1.18,-1.59,0.43
2025-01-06,000858,129.32,128.25,131.38,127.8,279430,3679523519.83,2.7,-3.44,-4.57,0.72
2025-01-07,000858,128.62,128.27,129.08,127.02,190187,2478571210.2,1.61,0.02,0.02,0.49
2025-01-08,000858,128.28,127.12,129.16,125.44,192876,2504007320.49,2.9,-0.9,-1.15,0.5
2025-01-09,000858,127.33,128.0,129.77,125.57,159183,2080588918.09,3.3,0.69,0.88,0.41
2025-01-10,000858,127.92,126.02,128.25,126.02,135378,1753729758.88,1.74,-1.55,-1.98,0.35
2025-01-13,000858,124.74,126.62,126.92,124.38,121491,1562285331.23,2.02,0.48,0.6,0.31
2025-01-14,000858,126.72,130.44,130.72,126.32,228625,3014664381.32,3.47,3.02,3.82,0.59
2025-01-15,000858,130.72,130.19,131.1,129.64,128123,1701391089.62,1.12,-0.19,-0.25,0.33
2025-01-16,000858,130.82,128.9,131.72,128.48,163096,2160311225.44,2.49,-0.99,-1.29,0.42
2025-01-17,000858,129.42,129.72,131.3,128.97,152450,2021963286.68,1.81,0.64,0.82,0.39
2025-01-20,000858,130.3,131.72,132.91,130.15,194174,2611169665.15,2.13,1.54,2.0,0.5
2025-01-21,000858,132.27,130.81,132.42,130.22,132797,1774069694.68,1.67,-0.69,-0.91,0.34
2025-01-22,000858,130.37,127.77,130.42,127.55,174182,2277963645.97,2.19,-2.32,-3.04,0.45
2025-01-23,000858,129.0,128.65,130.99,128.47,184489,2387735894.45,1.97,0.69,0.88,0.48
2025-01-24,000858,127.8,127.72,128.58,126.49,189436,2418169298.34,1.62,-0.72,-0.93,0.49
2025-01-27,000858,128.0,127.2,128.55,127.1,126535,1616070922.73,1.14,-0.41,-0.52,0.33
2025-02-05,000858,127.55,125.01,127.88,124.51,186916,2343981886.2,2.65,-1.72,-2.19,0.48
2025-02-06,000858,124.8,125.9,126.39,124.69,138191,1734038681.57,1.36,0.71,0.89,0.36
2025-02-07,000858,126.0,127.63,128.88,125.12,232473,2960433850.16,2.99,1.37,1.73,0.6
2025-02-10,000858,127.68,127.53,128.2,126.9,136546,1740615096.16,1.02,-0.08,-0.1,0.35
2025-02-11,000858,127.6,126.26,128.07,125.72,176002,2221320156.48,1.84,-1.0,-1.27,0.45
2025-02-12,000858,126.26,127.7,127.71,125.6,177353,2240677199.26,1.67,1.14,1.44,0.46
2025-02-13,000858,127.72,131.51,132.0,127.25,467626,6110655128.57,3.72,2.98,3.81,1.2
2025-02-14,000858,130.55,131.23,132.2,130.1,218107,2857398901.05,1.6,-0.21,-0.28,0.56
2025-02-17,000858,131.89,131.55,133.53,131.09,205078,2710093082.35,1.86,0.24,0.32,0.53
2025-02-18,000858,131.48,130.2,132.39,129.36,185961,2435399272.53,2.3,-1.03,-1.35,0.48
2025-02-19,000858,130.2,131.11,131.5,129.34,153642,2003027066.45,1.66,0.7,0.91,0.4
2025-02-20,000858,130.39,130.5,132.79,130.3,132530,1737767288.45,1.9,-0.47,-0.61,0.34
2025-02-21,000858,130.6,131.12,132.66,129.93,210017,2756687286.09,2.09,0.48,0.62,0.54
2025-02-24,000858,130.9,131.9,133.49,130.36,244392,3229422469.21,2.39,0.59,0.78,0.63
2025-02-25,000858,130.88,128.75,130.92,128.58,221901,2872796622.15,1.77,-2.39,-3.15,0.57
2025-02-26,000858,128.71,129.8,129.8,128.1,179243,2311292299.8,1.32,0.82,1.05,0.46
2025-02-27,000858,129.99,132.75,133.09,129.8,370795,4909364775.13,2.53,2.27,2.95,0.96
2025-02-28,000858,132.6,131.58,135.7,131.5,337202,4510232386.21,3.16,-0.88,-1.17,0.87
2025-03-03,000858,131.58,130.84,135.6,130.35,210355,2780161096.24,3.99,-0.56,-0.74,0.54
2025-03-04,000858,130.06,129.75,130.36,128.71,149348,1933207043.52,1.26,-0.83,-1.09,0.38
2025-03-05,000858,129.75,128.61,130.0,127.62,199366,2558423708.32,1.83,-0.88,-1.14,0.51
2025-03-06,000858,129.33,131.68,131.8,128.65,235857,3075149470.14,2.45,2.39,3.07,0.61
2025-03-07,000858,131.2,134.8,134.8,130.91,340073,4536723523.12,2.95,2.37,3.12,0.88
